name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week,custom_index
Klaytn,$0.172,0.61,1.96,1.54,"$538,091,738","$11,999,684","3,135,242,855",https://coinmarketcap.com/currencies/klaytn/?period=7d,4817798.12
Compound,$69.01,1.08,30.97,79.67,"$534,652,259","$245,323,995","7,746,640",https://coinmarketcap.com/currencies/compound/?period=7d,6172401.89
IOTA,$0.1845,0.01,-0.94,2.71,"$511,601,161","$5,453,940","2,779,530,283",https://coinmarketcap.com/currencies/iota/?period=7d,751457.53
Terra Classic,$0.0...08737,0.47,0.08,-4.07,"$508,473,980","$25,381,917","5,819,480,297,330",https://coinmarketcap.com/currencies/terra-luna/?period=7d,-236864.95
GMX,$56.59,0.18,-0.98,4.94,"$500,274,142","$11,361,645","8,844,854",https://coinmarketcap.com/currencies/gmx/?period=7d,436712.19
PAX Gold,"$1,897.11",-0.08,0.01,-0.57,"$482,280,045","$5,075,527","254,218",https://coinmarketcap.com/currencies/pax-gold/?period=7d,-1449.04
Tether Gold,"$1,919.66",-0.08,-0.11,-0.66,"$473,241,451","$15,093,273","246,524",https://coinmarketcap.com/currencies/tether-gold/?period=7d,-1627.06
Mina,$0.4971,0.25,0.99,2.58,"$460,964,625","$6,465,688","927,331,043",https://coinmarketcap.com/currencies/mina/?period=7d,239245.37
XDC Network,$0.03287,0.09,1.27,0.38,"$455,155,314","$1,586,444","13,847,097,377",https://coinmarketcap.com/currencies/xinfin/?period=7d,52619.11
BitTorrent(New),$0.0...04767,0.12,0.13,-1.23,"$453,240,835","$11,240,944","951,421,714,286,000",https://coinmarketcap.com/currencies/bittorrent-new/?period=7d,-116946.97
Huobi Token,$2.73,0.3,-0.1,0.83,"$442,291,741","$11,874,204","162,233,844",https://coinmarketcap.com/currencies/huobi-token/?period=7d,1344696.5
Casper,$0.03957,-0.49,1.01,-1.94,"$441,794,462","$2,431,455","11,144,064,392",https://coinmarketcap.com/currencies/casper/?period=7d,-216598.75
WOO Network,$0.2549,0.32,1.1,22.66,"$438,731,438","$23,153,222","1,715,806,619",https://coinmarketcap.com/currencies/wootrade/?period=7d,3900217.49
GateToken,$4.44,-0.01,2.3,4.69,"$434,263,923","$847,559","97,703,035",https://coinmarketcap.com/currencies/gatetoken/?period=7d,4587157.2
Dash,$38.18,0.37,1.1,9.6,"$433,309,691","$68,846,742","11,350,421",https://coinmarketcap.com/currencies/dash/?period=7d,1089516.25
Frax Share,$5.87,0.43,-1.39,0.24,"$427,163,516","$12,204,788","72,746,412",https://coinmarketcap.com/currencies/frax-share/?period=7d,174649.48
Sui,$0.7005,-0.5,2.6,-4.53,"$408,083,438","$113,355,175","582,598,088",https://coinmarketcap.com/currencies/sui/?period=7d,-263899.78
Trust Wallet Token,$0.8749,0.14,-0.35,-4.53,"$364,506,403","$6,546,850","416,649,900",https://coinmarketcap.com/currencies/trust-wallet-token/?period=7d,-188731.74
THORChain,$1.08,0.44,1.55,8.88,"$358,741,788","$24,228,719","333,386,867",https://coinmarketcap.com/currencies/thorchain/?period=7d,29496547.01
Nexo,$0.634,0.04,-0.66,-0.52,"$355,050,125","$2,904,935","560,000,011",https://coinmarketcap.com/currencies/nexo/?period=7d,-291208.3
Zilliqa,$0.02169,0.95,-0.02,7.03,"$344,109,429","$18,361,980","15,867,699,447",https://coinmarketcap.com/currencies/zilliqa/?period=7d,1115301.65
PancakeSwap,$1.58,0.07,-0.69,-1.29,"$332,907,528","$19,120,373","210,344,431",https://coinmarketcap.com/currencies/pancakeswap/?period=7d,-2718042.48
